method,split,stress_level,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_edge_f1,ci95_edge_f1,mean_graph_edit,ci95_graph_edit,mean_safety_violation_rate,ci95_safety_violation_rate,mean_fixture_contact_rate,ci95_fixture_contact_rate,mean_wall_contact_rate,ci95_wall_contact_rate,mean_jam_f1,ci95_jam_f1,mean_final_progress,ci95_final_progress
conformal_graph_guard,combined_extreme_stress,0.00,8,3,0.12500,0.17186,0.68200,0.10582,0.12809,0.01855,0.00000,0.00000,0.00000,0.00000,0.00781,0.00477,0.04435,0.08694,0.73886,0.06118
conformal_graph_guard,combined_extreme_stress,0.25,8,3,0.08333,0.10693,0.79155,0.09718,0.09392,0.03410,0.03125,0.06125,0.03733,0.07124,0.00521,0.00498,0.41667,0.16333,0.53903,0.11611
conformal_graph_guard,combined_extreme_stress,0.50,8,3,0.04167,0.08167,0.81983,0.05355,0.06862,0.01978,0.21875,0.15003,0.19965,0.15561,0.00781,0.00477,0.79167,0.11955,0.40752,0.12741
conformal_graph_guard,combined_extreme_stress,0.75,8,3,0.00000,0.00000,0.67176,0.10487,0.09375,0.02660,0.31771,0.13125,0.18750,0.07193,0.00694,0.00364,0.66667,0.24694,0.13170,0.07942
conformal_graph_guard,combined_extreme_stress,1.00,8,3,0.00000,0.00000,0.45518,0.11199,0.13726,0.02152,0.10069,0.09087,0.07552,0.04384,0.01910,0.00716,0.79167,0.11955,0.09785,0.09977
conformal_graph_guard,combined_stress,0.00,8,3,0.12500,0.11955,0.63106,0.09787,0.12216,0.02797,0.00000,0.00000,0.00000,0.00000,0.00521,0.00340,0.29924,0.14994,0.56886,0.16570
conformal_graph_guard,combined_stress,0.25,8,3,0.16667,0.17461,0.79512,0.10773,0.09711,0.03492,0.00000,0.00000,0.00087,0.00170,0.00694,0.00446,0.33333,0.24694,0.63638,0.11597
conformal_graph_guard,combined_stress,0.50,8,3,0.04167,0.08167,0.76958,0.08083,0.09104,0.02815,0.32639,0.12578,0.28559,0.14106,0.01302,0.00600,0.79167,0.17186,0.53105,0.11603
conformal_graph_guard,combined_stress,0.75,8,3,0.00000,0.00000,0.71273,0.06042,0.09158,0.01596,0.35330,0.12582,0.22743,0.10165,0.00694,0.00514,0.75000,0.20475,0.18972,0.18424
conformal_graph_guard,combined_stress,1.00,8,3,0.00000,0.00000,0.42665,0.09145,0.14280,0.02184,0.01997,0.03913,0.04427,0.02635,0.01823,0.00678,0.62500,0.19276,0.04367,0.08559
conformal_graph_guard,fixture_topology_shift,0.00,8,3,0.16667,0.12347,0.58880,0.12553,0.13111,0.02644,0.00000,0.00000,0.00000,0.00000,0.01042,0.00927,0.12500,0.11955,0.58492,0.09944
conformal_graph_guard,fixture_topology_shift,0.25,8,3,0.16667,0.17461,0.83196,0.03147,0.08931,0.01942,0.06771,0.08688,0.07899,0.09989,0.00087,0.00170,0.46086,0.21303,0.45725,0.16769
conformal_graph_guard,fixture_topology_shift,0.50,8,3,0.08333,0.10693,0.72340,0.09229,0.10548,0.02136,0.49392,0.12746,0.40017,0.11907,0.00781,0.00653,0.79167,0.11955,0.30953,0.14248
