method,split,seed,episode,stress_level,success,edge_f1,birth_f1,death_f1,graph_edit,component_accuracy,jam_f1,safety_violation_rate,chain_contact_rate,pocket_contact_rate,fixture_contact_rate,wall_contact_rate,final_progress,final_y_error,energy,trajectory_samples
topology_full_v5,combined_stress,0,1000,,0,0.77153,0.56250,0.63194,0.11458,0.83333,0.00000,0.45833,0.04167,0.04167,0.43750,0.00000,0.80474,0.03452,21.01288,"0:b(0.035,-0.035):p0.00:e[none];10:b(0.304,-0.032):p0.68:e[pusher_block_a];20:b(0.199,-0.033):p0.42:e[pusher_block_a];30:b(0.233,-0.032):p0.50:e[pusher_block_a,block_a_fixture];40:b(0.357,-0.030):p0.81:e[pusher_block_a,block_a_fixture];47:b(0.353,-0.030):p0.80:e[pusher_block_a]"
ablate_no_birth_death,combined_stress,0,1000,,0,0.55972,0.24306,0.15556,0.22135,0.72917,0.00000,0.81250,0.06250,0.04167,0.93750,0.00000,0.77664,0.03150,24.16070,"0:b(0.035,-0.035):p0.00:e[none];10:b(0.304,-0.033):p0.68:e[pusher_block_a,block_a_fixture];20:b(0.199,-0.034):p0.41:e[pusher_block_a,block_a_fixture];30:b(0.233,-0.033):p0.50:e[pusher_block_a,block_a_fixture];40:b(0.356,-0.033):p0.81:e[pusher_block_a,block_a_fixture];47:b(0.342,-0.033):p0.78:e[pusher_block_a,block_a_fixture]"
ablate_no_component_head,combined_stress,0,1000,,0,0.74931,0.86806,0.17361,0.13802,0.12500,0.00000,0.00000,0.83333,0.83333,0.04167,0.00000,0.81305,0.02382,13.47214,"0:b(0.035,-0.035):p0.00:e[none];10:b(0.359,-0.035):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.358,-0.031):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.358,-0.033):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.358,-0.037):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];47:b(0.356,-0.041):p0.81:e[none]"
ablate_no_jam_slip,combined_stress,0,1000,,0,0.52014,0.47222,0.89583,0.13542,0.45833,0.00000,0.00000,0.06250,0.02083,0.12500,0.00000,0.35332,0.07698,22.34937,"0:b(0.035,-0.035):p0.00:e[none];10:b(0.303,-0.035):p0.68:e[pusher_block_a];20:b(0.197,-0.035):p0.41:e[pusher_block_a];30:b(0.165,-0.006):p0.33:e[none];40:b(0.175,0.016):p0.35:e[none];47:b(0.175,0.012):p0.35:e[none]"
ablate_no_topology_planner,combined_stress,0,1000,,0,0.65347,0.25000,0.51389,0.16667,0.66667,0.00000,0.81250,0.04167,0.04167,0.47917,0.00000,0.74747,0.03165,22.18123,"0:b(0.035,-0.035):p0.00:e[none];10:b(0.304,-0.033):p0.68:e[pusher_block_a,block_a_fixture];20:b(0.199,-0.033):p0.42:e[pusher_block_a,block_a_fixture];30:b(0.232,-0.033):p0.50:e[pusher_block_a];40:b(0.356,-0.033):p0.81:e[pusher_block_a];47:b(0.330,-0.033):p0.75:e[pusher_block_a]"
ablate_no_uncertainty_penalty,combined_stress,0,1000,,0,0.54722,0.53125,0.80556,0.13802,0.52083,0.00000,0.43750,0.04167,0.02083,0.22917,0.00000,0.41306,0.04152,43.43374,"0:b(0.035,-0.035):p0.00:e[none];10:b(0.304,-0.031):p0.68:e[pusher_block_a];20:b(0.198,-0.031):p0.41:e[pusher_block_a];30:b(0.199,0.017):p0.42:e[pusher_block_a,block_a_fixture];40:b(0.199,-0.008):p0.41:e[none];47:b(0.198,-0.023):p0.41:e[none]"
ablate_no_graph_memory,combined_stress,0,1000,,0,0.76319,0.84722,0.52361,0.09115,0.39583,0.00000,0.41667,0.04167,0.02083,0.54167,0.00000,0.00000,0.08232,17.91869,"0:b(0.035,-0.035):p0.00:e[none];10:b(0.304,-0.037):p0.68:e[pusher_block_a,block_a_fixture];20:b(0.198,-0.037):p0.41:e[pusher_block_a];30:b(0.089,-0.069):p0.14:e[pusher_block_a,block_a_fixture];40:b(-0.015,-0.118):p0.00:e[pusher_block_a,block_a_fixture];47:b(-0.077,-0.147):p0.00:e[pusher_block_a,block_a_fixture]"
ablate_no_transition_bonus,combined_stress,0,1000,,0,0.67431,0.56042,0.74861,0.11719,0.70833,0.00000,0.39583,0.04167,0.04167,0.35417,0.00000,0.76477,0.02848,19.26651,"0:b(0.035,-0.035):p0.00:e[none];10:b(0.304,-0.035):p0.68:e[pusher_block_a];20:b(0.199,-0.035):p0.41:e[pusher_block_a];30:b(0.233,-0.035):p0.50:e[pusher_block_a,block_a_fixture];40:b(0.358,-0.036):p0.82:e[pusher_block_a,block_a_fixture,block_b_pocket];47:b(0.337,-0.036):p0.76:e[none]"
ablate_no_fixture_guard,combined_stress,0,1000,,0,0.13125,0.14583,0.37153,0.36458,0.62500,0.00000,0.00000,0.02083,0.62500,0.06250,0.02083,0.81696,0.03749,18.01720,"0:b(0.035,-0.035):p0.00:e[none];10:b(0.304,-0.036):p0.68:e[none];20:b(0.363,-0.103):p0.83:e[pusher_block_b,block_b_pocket];30:b(0.358,-0.102):p0.82:e[pusher_block_b,block_b_pocket];40:b(0.358,-0.102):p0.82:e[pusher_block_b,block_b_pocket];47:b(0.358,-0.102):p0.82:e[pusher_block_b,block_b_pocket]"
ablate_no_tail_risk_objective,combined_stress,0,1000,,0,0.57917,0.46528,0.74306,0.14583,0.60417,0.00000,0.39583,0.06250,0.02083,0.29167,0.00000,0.80529,0.06576,22.88882,"0:b(0.035,-0.035):p0.00:e[none];10:b(0.303,-0.037):p0.68:e[pusher_block_a];20:b(0.196,-0.036):p0.41:e[pusher_block_a];30:b(0.201,-0.013):p0.42:e[pusher_block_a,block_a_fixture];40:b(0.353,0.001):p0.80:e[none];47:b(0.353,0.001):p0.81:e[none]"
